,VOC,JSC,FF,PCE,Electrolyte,Molecule SMILE,Exposure time (h),Solar simulator at 1.5G (mW/cm2),Dye loading (nmol/cm2),Semiconductor Type,Semiconductor Film Thickness (um),Semiconductor Scattering Layer Thickness (um),Used Co-sensitizer,Used Co-adsorbent,Co-adsorbent type,Co-adsorbent Conc. (mM),Active area (cm2)
2961,457.0,2.7,0.61,0.74,Iodide_Triiodide,CCCCCCCC[N+]1=C(/C=C/2\C(=C(C2=O)/C=C\2/N(CC)c3c(C2(C)C)c2ccccc2cc3)[O-])C(c2c1ccc(c2)C(=O)O)(C)C,12.0,100.0,152.64,ZnO,4.3,0.0,0,1,cholic acid,5.12,0.28
2962,539.0,8.6,0.55,2.55,Iodide_Triiodide,CCCCCCCC[N+]1=C(/C=C/2\C(=C(C2=O)/C=C\2/N(CC)c3c(C2(C)C)c2ccccc2cc3)[O-])C(c2c1ccc(c2)C(=O)O)(C)C,12.0,100.0,152.64,ZnO,4.3,0.0,1,1,octanoic acid,5.12,0.28
2963,710.0,9.46,0.64,4.31,Iodide_Triiodide,CCCCn1c(/C=C/c2ccc(n2c2ccc(cc2)c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C=C(\C(=O)O)/C#N)cc2c1ccc(c2)c1ccc(cc1)N(c1ccccc1)c1ccccc1,12.0,42.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.25
2964,690.0,10.25,0.61,4.31,Iodide_Triiodide,CCCCCCn1c2ccc(cc2c2c1cccc2)c1ccc(cc1)n1c(ccc1/C=C(\C(=O)O)/C#N)/C=C/c1cc2c(n1CCCC)ccc(c2)c1ccc2c(c1)c1ccccc1n2CCCCCC,12.0,42.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.25
2965,639.0,14.3,0.75,6.85,Iodide_Triiodide,CCCCCCc1cc(sc1/C=C(\C(=O)O)/C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C,12.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.2304
2966,629.0,10.4,0.71,4.64,Iodide_Triiodide,CCCCCCc1cc(sc1c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)c1ccc(c2c1nsn2)c1cc(c(s1)/C=C(\C(=O)O)/C#N)CCCCCC,12.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.2304
2967,604.0,12.91,0.68,5.31,Iodide_Triiodide,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C(=O)O,12.0,100.0,152.64,TiO2,12.0,4.0,0,0,None,0.0,0.2304
2968,633.0,14.28,0.75,6.78,Iodide_Triiodide,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C(=O)O,12.0,100.0,152.64,TiO2,12.0,4.0,0,1,DCA,20.0,0.2304
2969,672.0,15.0,0.77,7.76,Iodide_Triiodide,CCCCCCc1cc(sc1/C=C(\C(=O)O)/C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C,12.0,100.0,152.64,TiO2,12.0,4.0,0,0,None,0.0,0.2304
2970,673.0,14.15,0.76,7.23,Iodide_Triiodide,CCCCCCc1cc(sc1c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)c1ccc(c2c1nsn2)c1cc(c(s1)/C=C(\C(=O)O)/C#N)CCCCCC,12.0,100.0,152.64,TiO2,12.0,4.0,0,1,DCA,20.0,0.2304
2971,640.0,7.63,0.72,3.5,Iodide_Triiodide,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1ccc2c(c1)c1CCCc1n2CC,12.0,100.0,152.64,TiO2,6.0,0.0,1,0,None,0.0,0.2399
2972,690.0,6.89,0.75,3.6,Iodide_Triiodide,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1CCCc1n2c1ccccc1,12.0,100.0,152.64,TiO2,6.0,0.0,1,0,None,0.0,0.2399
2973,670.0,8.0,0.72,3.9,Iodide_Triiodide,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1CCCc1n2c1ccc(cc1)OC,12.0,100.0,152.64,TiO2,6.0,0.0,1,0,None,0.0,0.2399
2974,570.0,8.74,0.74,3.7,Iodide_Triiodide,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1ccc2c(c1)C1CCCC1N2CC,12.0,100.0,152.64,TiO2,6.0,0.0,1,0,None,0.0,0.2399
2975,686.0,14.8,0.68,6.9,Iodide_Triiodide,CCCC1(CCC)c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1ccc(c2)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(\C(=O)O)/C#N,12.0,100.0,152.64,TiO2,3.0,0.0,0,0,None,0.0,0.156
2976,640.0,13.3,0.69,5.87,Iodide_Triiodide,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C(C)(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,3.0,0.0,0,0,None,0.0,0.156
2977,750.0,11.4,0.66,5.64,Co(II)_Co(III),N#C/C(=C/c1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C(C)(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,3.0,0.0,0,0,None,0.0,0.156
2978,676.0,13.5,0.68,6.2,Iodide_Triiodide,CCCC1(CCC)c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1ccc(c2)c1ccc(s1)/C=C(\C(=O)O)/C#N,12.0,100.0,152.64,TiO2,3.0,0.0,0,0,None,0.0,0.156
2979,770.0,11.5,0.67,5.93,Co(II)_Co(III),CCCC1(CCC)c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1ccc(c2)c1ccc(s1)/C=C(\C(=O)O)/C#N,12.0,100.0,152.64,TiO2,3.0,0.0,0,0,None,0.0,0.156
2980,650.0,16.0,0.69,7.18,Iodide_Triiodide,CCCC1(CCC)c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1ccc(c2)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(\C(=O)O)/C#N,12.0,100.0,152.64,TiO2,6.0,0.0,0,0,None,0.0,0.156
2981,635.0,17.8,0.68,7.69,Co(II)_Co(III),CCCC1(CCC)c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1ccc(c2)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(\C(=O)O)/C#N,12.0,100.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.156
2982,775.0,13.6,0.67,7.06,Iodide_Triiodide,CCCC1(CCC)c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1ccc(c2)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(\C(=O)O)/C#N,12.0,100.0,152.64,TiO2,6.0,0.0,0,0,None,0.0,0.156
2983,720.0,10.8,0.68,5.29,Co(II)_Co(III),CCCC1(CCC)c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1ccc(c2)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(\C(=O)O)/C#N,12.0,100.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.156
2984,650.0,6.0,0.66,2.6,Iodide_Triiodide,Cc1cc(C)c(c(c1)C)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(C)cc(cc1C)C)/c1ccc(cc1)c1ccc(cc1)C(=O)O)/c1c(C)cc(cc1C)C,1.0,100.0,152.64,TiO2,10.0,0.0,0,0,None,0.0,0.25
2985,589.0,11.8,0.73,5.07,Iodide_Triiodide,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C(=O)O,12.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.2304
2986,800.0,13.0,0.66,6.86,Co(II)_Co(III),CCCC1(CCC)c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1ccc(c2)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(\C(=O)O)/C#N,12.0,100.0,152.64,TiO2,3.0,0.0,0,0,None,0.0,0.156
